Voucher_No,Date,Vendor_Name,Amount,Account_Head,Approver,Raised_By
V1320,2024-06-18,Vendor_6,33055.68,Travel,Vikram Nair,Priya Singh
V1321,2024-11-11,Vendor_2,54399.47,Rent,Amit Verma,Priya Singh
V1322,2024-11-14,Vendor_20,13236.48,Consulting,Sunita Rao,Priya Singh
V1323,2024-12-30,Vendor_8,243127.17,Consulting,Sunita Rao,Priya Singh
V1324,2025-03-14,Vendor_19,10970.17,Rent,Sunita Rao,Amit Verma
V1325,2024-12-27,Vendor_14,8908.53,Travel,Priya Singh,Amit Verma
V1326,2024-08-07,Vendor_2,95517.38,Salaries,Sunita Rao,Amit Verma
V1327,2025-01-09,Vendor_4,66211.89,Salaries,Vikram Nair,Rahul Sharma
V1328,2024-05-13,Vendor_25,55998.07,Travel,Amit Verma,Vikram Nair
V1329,2024-12-19,Vendor_5,56235.2,Rent,Rahul Sharma,Rahul Sharma
V1330,2024-09-26,Vendor_1,29634.84,Rent,Rahul Sharma,Vikram Nair
V1331,2024-10-09,Vendor_8,12230.62,Rent,Rahul Sharma,Sunita Rao
V1332,2024-07-24,Vendor_1,32362.55,Consulting,Rahul Sharma,Sunita Rao
V1333,2024-06-14,Vendor_5,15241.71,Office Supplies,Amit Verma,Vikram Nair
V1334,2024-06-11,Vendor_25,79544.54,Salaries,Sunita Rao,Vikram Nair
V1335,2025-02-10,Vendor_1,25897.33,Office Supplies,Rahul Sharma,Sunita Rao
V1336,2025-01-06,Vendor_24,13140.51,Utilities,Vikram Nair,Sunita Rao
V1337,2024-05-27,Vendor_25,21754.3,Consulting,Priya Singh,Sunita Rao
V1338,2024-04-25,Vendor_8,45337.24,Rent,Vikram Nair,Sunita Rao
V1339,2024-05-03,Vendor_4,17072.57,Rent,Vikram Nair,Rahul Sharma
V1340,2025-02-18,Vendor_17,13183.64,Utilities,Priya Singh,Amit Verma
V1341,2024-08-28,Vendor_14,38278.36,Office Supplies,Vikram Nair,Amit Verma
V1342,2024-08-02,Vendor_19,38327.36,Rent,Priya Singh,Rahul Sharma
V1343,2024-12-25,Vendor_12,18070.02,Office Supplies,Vikram Nair,Rahul Sharma
V1344,2024-10-17,Vendor_16,18730.61,Office Supplies,Sunita Rao,Amit Verma
V1345,2024-08-08,Vendor_24,37835.48,Office Supplies,Amit Verma,Rahul Sharma
V1346,2024-09-24,Vendor_8,7050.6,Salaries,Rahul Sharma,Sunita Rao
V1347,2024-04-23,Vendor_12,1750000.0,Utilities,Amit Verma,Priya Singh
V1348,2025-03-17,Vendor_15,14625.3,Salaries,Sunita Rao,Priya Singh
V1349,2024-05-03,Vendor_23,24233.85,Rent,Rahul Sharma,Sunita Rao
V1350,2024-04-23,Vendor_7,50000.0,Office Supplies,Amit Verma,Sunita Rao
V1351,2024-12-20,Vendor_13,131177.79,Utilities,Sunita Rao,Amit Verma
V1352,2024-04-19,Vendor_25,70729.09,Salaries,Priya Singh,Sunita Rao
V1353,2024-09-30,Vendor_25,25565.89,Office Supplies,Amit Verma,Sunita Rao
V1354,2024-06-03,Vendor_12,29434.9,Rent,Sunita Rao,Vikram Nair
V1355,2024-10-15,Vendor_11,11008.5,Travel,Sunita Rao,Vikram Nair
V1356,2024-08-15,Vendor_3,29449.72,Salaries,Sunita Rao,Rahul Sharma
V1357,2024-11-07,Vendor_20,22478.04,Travel,Vikram Nair,Amit Verma
V1358,2024-09-12,Vendor_4,41426.3,Office Supplies,Amit Verma,Sunita Rao
V1359,2024-09-04,Vendor_15,13117.75,Utilities,Sunita Rao,Priya Singh
V1360,2025-03-20,Vendor_15,50427.86,Consulting,Sunita Rao,Rahul Sharma
V1361,2024-08-19,Vendor_21,138925.29,Office Supplies,Rahul Sharma,Vikram Nair
V1362,2024-10-04,Vendor_17,26908.37,Salaries,Priya Singh,Rahul Sharma
V1363,2024-06-13,Vendor_20,44831.41,Salaries,Sunita Rao,Rahul Sharma
V1364,2024-06-04,Vendor_3,59820.08,Travel,Amit Verma,Sunita Rao
V1365,2024-10-14,Vendor_19,20085.07,Office Supplies,Vikram Nair,Priya Singh
V1366,2025-03-14,Vendor_15,37535.6,Consulting,Amit Verma,Vikram Nair
V1367,2024-05-10,Vendor_19,30380.16,Travel,Vikram Nair,Amit Verma
V1368,2024-10-21,Vendor_11,33078.17,Salaries,Amit Verma,Priya Singh
V1369,2024-05-29,Vendor_1,13848.65,Salaries,Priya Singh,Vikram Nair
V1370,2024-10-16,Vendor_18,30744.39,Office Supplies,Amit Verma,Sunita Rao
V1371,2025-03-27,Vendor_15,49362.73,Travel,Vikram Nair,Amit Verma
V1372,2024-07-12,Vendor_4,128039.78,Travel,Rahul Sharma,Vikram Nair
V1373,2024-06-29,Vendor_23,78293.78,Rent,Rahul Sharma,Sunita Rao
V1374,2024-09-25,Vendor_23,30000.0,Office Supplies,Vikram Nair,Amit Verma
V1375,2024-06-20,Vendor_23,1500000.0,Salaries,Priya Singh,Sunita Rao
V1376,2024-12-17,Vendor_8,71773.69,Office Supplies,Priya Singh,Amit Verma
V1377,2024-07-31,Vendor_16,36036.75,Office Supplies,Amit Verma,Sunita Rao
V1378,2024-11-26,Vendor_18,268003.57,Travel,Vikram Nair,Rahul Sharma
V1379,2024-09-06,Vendor_13,13368.47,Salaries,Sunita Rao,Vikram Nair
V1380,2025-01-20,Vendor_3,12954.92,Travel,Amit Verma,Rahul Sharma
V1381,2024-11-25,Vendor_22,16474.35,Utilities,Amit Verma,Priya Singh
V1382,2025-01-08,Vendor_21,48999.0,Utilities,Priya Singh,Amit Verma
V1383,2024-11-08,Vendor_17,17733.27,Office Supplies,Rahul Sharma,Amit Verma
V1384,2024-09-03,Vendor_6,14042.17,Travel,Amit Verma,Priya Singh
V1385,2024-09-25,Vendor_17,34868.76,Consulting,Rahul Sharma,Sunita Rao
V1386,2024-07-10,Vendor_21,42222.5,Utilities,Amit Verma,Priya Singh
V1387,2024-09-03,Vendor_20,195853.75,Utilities,Rahul Sharma,Amit Verma
V1388,2025-01-29,Vendor_19,77604.17,Travel,Priya Singh,Sunita Rao
V1389,2025-01-14,Vendor_2,16849.04,Office Supplies,Rahul Sharma,Priya Singh
V1390,2025-01-21,Vendor_9,12216.44,Salaries,Priya Singh,Vikram Nair
V1391,2025-02-11,Vendor_21,49063.56,Office Supplies,Sunita Rao,Amit Verma
V1392,2024-09-02,Vendor_16,8012.19,Travel,Sunita Rao,Amit Verma
V1393,2024-11-19,Vendor_3,187289.61,Salaries,Rahul Sharma,Amit Verma
V1394,2024-11-12,Vendor_14,97576.58,Rent,Sunita Rao,Priya Singh
V1395,2025-02-05,Vendor_5,18765.53,Consulting,Amit Verma,Sunita Rao
V1396,2024-10-22,Vendor_5,5408.99,Consulting,Vikram Nair,Rahul Sharma
V1397,2024-09-11,Vendor_8,116171.76,Rent,Rahul Sharma,Sunita Rao
V1398,2024-08-05,Vendor_5,26753.29,Office Supplies,Rahul Sharma,Sunita Rao
V1399,2024-10-14,Vendor_20,103442.27,Rent,Priya Singh,Amit Verma
V1400,2025-01-21,Vendor_24,6090.74,Consulting,Priya Singh,Amit Verma
V1401,2024-12-12,Vendor_17,16474.64,Rent,Sunita Rao,Amit Verma
V1402,2024-12-11,Vendor_1,30157.72,Office Supplies,Sunita Rao,Vikram Nair
V1403,2024-08-02,Vendor_7,31443.05,Utilities,Amit Verma,Rahul Sharma
V1404,2024-04-26,Vendor_10,19127.59,Rent,Vikram Nair,Sunita Rao
V1405,2024-12-31,Vendor_1,55927.0,Office Supplies,Sunita Rao,Priya Singh
V1406,2024-08-14,Vendor_24,10314.77,Consulting,Sunita Rao,Amit Verma
V1407,2024-04-24,Vendor_13,26018.76,Office Supplies,Vikram Nair,Priya Singh
V1408,2024-10-03,Vendor_18,33834.91,Consulting,Rahul Sharma,Vikram Nair
V1409,2025-01-07,Vendor_9,50180.99,Utilities,Vikram Nair,Rahul Sharma
V1410,2024-06-05,Vendor_4,61118.36,Rent,Amit Verma,Sunita Rao
V1411,2024-06-13,Vendor_7,9743.06,Utilities,Vikram Nair,Sunita Rao
V1412,2024-12-13,Vendor_2,6469.4,Office Supplies,Rahul Sharma,Amit Verma
V1413,2025-04-01,Vendor_11,60000.0,Rent,Vikram Nair,Vikram Nair
V1414,2025-02-05,Vendor_17,41825.72,Travel,Amit Verma,Sunita Rao
V1415,2025-02-10,Vendor_24,14192.46,Consulting,Vikram Nair,Amit Verma
V1416,2024-12-16,Vendor_17,141507.02,Utilities,Sunita Rao,Amit Verma
V1417,2024-04-09,Vendor_12,33678.92,Consulting,Rahul Sharma,Vikram Nair
V1418,2025-01-24,Vendor_10,97562.63,Salaries,Rahul Sharma,Vikram Nair
V1419,2024-08-14,Vendor_21,32095.5,Utilities,Vikram Nair,Priya Singh
V1420,2025-01-24,Vendor_16,235555.21,Travel,Vikram Nair,Sunita Rao
V1421,2024-04-17,Vendor_19,173562.58,Salaries,Rahul Sharma,Amit Verma
V1422,2024-04-10,Vendor_15,23388.24,Consulting,Sunita Rao,Priya Singh
V1423,2024-10-29,Vendor_23,79262.75,Travel,Sunita Rao,Vikram Nair
V1424,2024-05-02,Vendor_23,57201.11,Travel,Vikram Nair,Priya Singh
V1425,2025-01-13,Vendor_11,117899.07,Salaries,Sunita Rao,Vikram Nair
V1426,2024-06-28,Vendor_15,11430.37,Utilities,Amit Verma,Sunita Rao
V1427,2025-03-13,Vendor_25,59575.76,Salaries,Amit Verma,Vikram Nair
V1428,2024-07-08,Vendor_8,86454.81,Consulting,Vikram Nair,Amit Verma
V1429,2024-07-25,Vendor_10,5167.86,Consulting,Priya Singh,Vikram Nair
V1430,2024-09-10,Vendor_16,9188.37,Consulting,Vikram Nair,Amit Verma
V1431,2024-08-26,Vendor_4,3903.86,Utilities,Vikram Nair,Sunita Rao
V1432,2024-09-24,Vendor_25,22914.97,Travel,Amit Verma,Rahul Sharma
V1433,2024-08-26,Vendor_23,61481.7,Office Supplies,Amit Verma,Vikram Nair
V1434,2024-12-02,Vendor_7,134767.95,Travel,Vikram Nair,Amit Verma
V1435,2025-01-13,Vendor_23,32307.27,Consulting,Priya Singh,Rahul Sharma
V1436,2025-02-10,Vendor_24,152904.41,Utilities,Priya Singh,Amit Verma
V1437,2024-04-26,Vendor_22,7546.59,Utilities,Priya Singh,Amit Verma
V1438,2024-05-22,Vendor_14,5462.0,Consulting,Sunita Rao,Rahul Sharma
V1439,2024-06-10,Vendor_1,28379.01,Utilities,Priya Singh,Vikram Nair
V1440,2025-02-28,Vendor_7,44047.25,Consulting,Amit Verma,Sunita Rao
V1441,2025-02-25,Vendor_2,29035.02,Office Supplies,Vikram Nair,Priya Singh
V1442,2024-12-30,Vendor_24,3795.27,Salaries,Rahul Sharma,Amit Verma
V1443,2024-10-31,Vendor_6,27442.07,Office Supplies,Sunita Rao,Vikram Nair
V1444,2024-07-05,Vendor_24,8139.49,Consulting,Rahul Sharma,Priya Singh
V1445,2025-01-16,Vendor_20,75000.0,Office Supplies,Amit Verma,Sunita Rao
V1446,2024-11-19,Vendor_21,43284.54,Utilities,Vikram Nair,Sunita Rao
V1447,2024-11-26,Vendor_9,11720.24,Travel,Rahul Sharma,Sunita Rao
V1448,2024-11-21,Vendor_21,17945.34,Consulting,Priya Singh,Rahul Sharma
V1449,2024-09-20,Vendor_10,10401.85,Utilities,Priya Singh,Amit Verma
V1450,2025-02-07,Vendor_21,28177.34,Rent,Sunita Rao,Amit Verma
V1451,2024-05-15,Vendor_13,77971.21,Salaries,Rahul Sharma,Amit Verma
V1452,2024-06-11,Vendor_16,11195.05,Consulting,Priya Singh,Rahul Sharma
V1453,2024-08-12,Vendor_13,49662.19,Travel,Sunita Rao,Amit Verma
V1454,2024-09-16,Vendor_10,17653.6,Utilities,Vikram Nair,Rahul Sharma
V1455,2024-08-12,Vendor_21,13576.29,Consulting,Priya Singh,Rahul Sharma
V1456,2024-05-31,Vendor_15,26954.95,Consulting,Priya Singh,Vikram Nair
V1457,2025-03-18,Vendor_17,10654.21,Salaries,Amit Verma,Rahul Sharma
V1458,2024-08-30,Vendor_12,17245.45,Utilities,Priya Singh,Amit Verma
V1459,2024-06-18,Vendor_15,9055.02,Salaries,Vikram Nair,Amit Verma
V1460,2024-10-30,Vendor_23,213988.55,Utilities,Sunita Rao,Priya Singh
V1461,2024-08-05,Vendor_22,31076.78,Utilities,Rahul Sharma,Vikram Nair
V1462,2024-12-27,Vendor_23,14901.65,Consulting,Rahul Sharma,Priya Singh
V1463,2024-05-02,Vendor_18,37157.93,Utilities,Priya Singh,Amit Verma
V1464,2024-06-24,Vendor_11,26812.53,Utilities,Sunita Rao,Rahul Sharma
V1465,2024-07-15,Vendor_23,24052.23,Utilities,Sunita Rao,Rahul Sharma
V1466,2024-12-18,Vendor_15,55443.48,Office Supplies,Sunita Rao,Priya Singh
V1467,2024-12-19,Vendor_14,63988.61,Rent,Vikram Nair,Rahul Sharma
V1468,2025-03-11,Vendor_10,17649.3,Salaries,Rahul Sharma,Vikram Nair
V1469,2024-08-09,Vendor_1,16867.34,Salaries,Priya Singh,Rahul Sharma
V1470,2024-04-24,Vendor_14,22785.99,Consulting,Rahul Sharma,Priya Singh
V1471,2024-05-06,Vendor_16,3001.99,Office Supplies,Amit Verma,Vikram Nair
V1472,2024-07-02,Vendor_25,6592.99,Travel,Sunita Rao,Amit Verma
V1473,2024-10-11,Vendor_13,117692.07,Office Supplies,Vikram Nair,Priya Singh
V1474,2024-09-26,Vendor_4,155425.28,Travel,Vikram Nair,Sunita Rao
V1475,2024-12-27,Vendor_5,23386.56,Salaries,Priya Singh,Rahul Sharma
V1476,2024-04-12,Vendor_10,53396.99,Rent,Vikram Nair,Sunita Rao
V1477,2024-08-05,Vendor_15,40953.92,Consulting,Priya Singh,Sunita Rao
V1478,2024-05-28,Vendor_2,652021.93,Salaries,Sunita Rao,Rahul Sharma
V1479,2024-08-02,Vendor_7,91906.55,Office Supplies,Rahul Sharma,Priya Singh
V1480,2024-11-15,Vendor_20,26397.78,Salaries,Rahul Sharma,Amit Verma
V1481,2024-04-23,Vendor_13,11538.13,Rent,Priya Singh,Amit Verma
V1482,2024-04-29,Vendor_5,6017.98,Utilities,Amit Verma,Priya Singh
V1483,2025-01-20,Vendor_11,36769.22,Utilities,Vikram Nair,Amit Verma
V1484,2024-07-31,Vendor_10,14081.29,Travel,Vikram Nair,Priya Singh
V1485,2024-10-29,Vendor_10,7235.1,Consulting,Rahul Sharma,Amit Verma
V1486,2025-03-14,Vendor_14,15715.14,Utilities,Sunita Rao,Rahul Sharma
V1487,2024-09-24,Vendor_21,10172.11,Salaries,Sunita Rao,Amit Verma
V1488,2024-10-31,Vendor_14,162120.36,Travel,Amit Verma,Vikram Nair
V1489,2024-07-04,Vendor_25,72445.69,Utilities,Sunita Rao,Priya Singh
V1490,2024-07-25,Vendor_10,29761.77,Salaries,Priya Singh,Vikram Nair
V1491,2024-04-30,Vendor_18,131781.01,Rent,Sunita Rao,Priya Singh
V1492,2024-10-16,Vendor_8,32413.2,Consulting,Priya Singh,Sunita Rao
V1493,2025-02-26,Vendor_3,12678.57,Rent,Amit Verma,Rahul Sharma
V1494,2024-12-31,Vendor_24,137595.95,Travel,Rahul Sharma,Sunita Rao
V1495,2024-10-11,Vendor_22,51424.13,Utilities,Vikram Nair,Rahul Sharma
V1496,2024-05-08,Vendor_7,10632.88,Utilities,Vikram Nair,Priya Singh
V1497,2024-12-02,Vendor_7,24800.37,Consulting,Amit Verma,Rahul Sharma
V1498,2024-07-18,Vendor_7,12498.13,Salaries,Rahul Sharma,Vikram Nair
V1499,2025-02-04,Vendor_23,7526.26,Travel,Sunita Rao,Priya Singh
V1304,2024-12-13,Vendor_5,29379.46,Office Supplies,Sunita Rao,Rahul Sharma
V1340,2025-02-18,Vendor_17,13183.64,Utilities,Priya Singh,Amit Verma
V1047,2024-08-06,Vendor_3,86342.3,Rent,Vikram Nair,Rahul Sharma
V1067,2025-01-09,Vendor_5,81837.07,Consulting,Amit Verma,Priya Singh
V1479,2024-08-02,Vendor_7,91906.55,Office Supplies,Rahul Sharma,Priya Singh
