Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
MFG/24-25/519739,2024-11-20 19:52:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,18895.15,Bill passing for finished goods domestic sales against PO ref #8492,Stitching Unit 1,finance_head
MFG/24-25/519812,2024-09-18 19:21:00,Raw Material - Cotton Yarn,Shree Ganesh Embroidery,57839.45,0.0,Bill passing for raw material - cotton yarn against PO ref #9941,Dyeing & Wet Processing,accts_manish
MFG/24-25/517531,2024-08-15 14:42:00,Embroidery & Job Work Charges,Zenith Dyeing & Processing,29629.11,0.0,Bill passing for embroidery & job work charges against PO ref #9554,Stitching Unit 2,works_mgr_patel
MFG/24-25/520174,2024-11-27 11:01:00,Packing & Trims Purchase,Global Freight Forwarders,86355.58,0.0,Bill passing for packing & trims purchase against PO ref #1527,Export Division,works_mgr_patel
MFG/24-25/508693,2024-07-07 11:40:00,Dyeing & Printing Charges,Apex Button & Zippers,6760.37,0.0,Bill passing for dyeing & printing charges against PO ref #1652,Stitching Unit 2,finance_head
MFG/24-25/507653,2024-04-05 10:55:00,Packing & Trims Purchase,Royal Industrial Spares,8569.01,0.0,Bill passing for packing & trims purchase against PO ref #2599,Finishing & Packaging,finance_head
MFG/24-25/525639,2024-10-15 19:10:00,Raw Material - Grey Fabric,Vardhman Yarns & Threads,191549.47,0.0,Bill passing for raw material - grey fabric against PO ref #4490,Export Division,works_mgr_patel
MFG/24-25/518413,2024-05-16 11:14:00,Export Sales (Apparel),Trends Retail India,0.0,6859.97,Bill passing for export sales (apparel) against PO ref #3720,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/519017,2024-06-15 13:57:00,Export Sales (Apparel),Euro Fashion Brands,0.0,6002.81,Bill passing for export sales (apparel) against PO ref #6118,Dyeing & Wet Processing,finance_head
MFG/24-25/511664,2024-11-10 10:16:00,Embroidery & Job Work Charges,Global Freight Forwarders,69134.89,0.0,Bill passing for embroidery & job work charges against PO ref #6226,Export Division,accts_suresh
MFG/24-25/502170,2024-07-18 17:34:00,Finished Goods Domestic Sales,Trends Retail India,0.0,53361.38,Bill passing for finished goods domestic sales against PO ref #4667,Finishing & Packaging,accts_manish
MFG/24-25/513034,2024-08-03 11:51:00,Embroidery & Job Work Charges,Star Export Logistics,1096.06,0.0,Bill passing for embroidery & job work charges against PO ref #1274,Dyeing & Wet Processing,finance_head
MFG/24-25/519938,2024-07-23 16:31:00,Export Sales (Apparel),Lifestyle Garments Ltd,0.0,130526.06,Bill passing for export sales (apparel) against PO ref #1807,Finishing & Packaging,accts_suresh
MFG/24-25/522088,2024-07-02 14:13:00,Dyeing & Printing Charges,Balaji Job Workers Ltd,777.03,0.0,Bill passing for dyeing & printing charges against PO ref #9564,Weaving Dept,accts_manish
MFG/24-25/507864,2025-03-29 11:11:00,Direct Factory Wages,Shree Ganesh Embroidery,252558.9,0.0,Bill passing for direct factory wages against PO ref #4103,Export Division,works_mgr_patel
MFG/24-25/510104,2024-04-09 09:23:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,92702.34,Bill passing for finished goods domestic sales against PO ref #2392,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/510912,2024-06-15 09:37:00,Packing & Trims Purchase,Royal Industrial Spares,82913.71,0.0,Bill passing for packing & trims purchase against PO ref #4144,Export Division,accts_manish
MFG/24-25/EST-701441,2024-06-21 16:40:00,Dyeing & Printing Charges,Zenith Dyeing & Processing,77045.0,0.0,Estimated invoice booking ref #EST-77045,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/525302,2025-01-16 09:00:00,Direct Factory Wages,Surat Textiles Hub Pvt Ltd,21146.44,0.0,Bill passing for direct factory wages against PO ref #6256,Stitching Unit 2,accts_manish
MFG/24-25/500352,2025-02-05 09:18:00,Boiler Fuel & Power Costs,Apex Button & Zippers,509780.81,0.0,Bill passing for boiler fuel & power costs against PO ref #8082,Dyeing & Wet Processing,accts_suresh
MFG/24-25/504997,2024-12-28 13:17:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,4706.31,Bill passing for finished goods domestic sales against PO ref #2659,Spinning Unit,works_mgr_patel
MFG/24-25/EST-701494,2024-09-08 10:13:00,Machinery Repairs & Spares,Zenith Dyeing & Processing,925090.0,0.0,Estimated invoice booking ref #EST-92509,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/SPL-603320,2024-10-10 10:51:00,Direct Factory Wages,Apex Button & Zippers,48872.82,0.0,Job work voucher below limit clearance - Batch #779,Stitching Unit 2,accts_manish
MFG/24-25/518733,2024-04-02 13:20:00,Direct Factory Wages,Vardhman Yarns & Threads,24275.26,0.0,Bill passing for direct factory wages against PO ref #6310,Export Division,finance_head
MFG/24-25/SPL-602233,2024-06-17 14:12:00,Direct Factory Wages,Om Sai Labour Contractors,48554.31,0.0,Job work voucher below limit clearance - Batch #329,Stitching Unit 1,accts_manish
MFG/24-25/SPL-601871,2025-01-31 17:12:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,48862.58,0.0,Job work voucher below limit clearance - Batch #841,Stitching Unit 1,accts_manish
MFG/24-25/503696,2024-09-17 09:37:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,58047.58,0.0,Bill passing for embroidery & job work charges against PO ref #2969,Stitching Unit 2,accts_suresh
MFG/24-25/523353,2024-12-15 11:55:00,Boiler Fuel & Power Costs,Balaji Job Workers Ltd,30360.3,0.0,Bill passing for boiler fuel & power costs against PO ref #5968,Stitching Unit 1,works_mgr_patel
MFG/24-25/521618,2024-10-20 14:57:00,Raw Material - Grey Fabric,Balaji Job Workers Ltd,3545.05,0.0,Bill passing for raw material - grey fabric against PO ref #4338,Dyeing & Wet Processing,accts_suresh
MFG/24-25/SPL-603473,2024-07-03 12:45:00,Direct Factory Wages,Apex Button & Zippers,49946.35,0.0,Job work voucher below limit clearance - Batch #484,Stitching Unit 1,accts_manish
MFG/24-25/521577,2024-04-26 14:21:00,Factory Security & Compliance,Royal Industrial Spares,69865.65,0.0,Bill passing for factory security & compliance against PO ref #8913,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/525705,2024-09-06 10:47:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,2537.85,Bill passing for finished goods domestic sales against PO ref #4669,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/509929,2025-01-31 11:17:00,Raw Material - Cotton Yarn,Apex Button & Zippers,31830.55,0.0,Bill passing for raw material - cotton yarn against PO ref #3559,Stitching Unit 1,sr_accountant_gupta
MFG/24-25/SPL-601019,2024-12-07 16:27:00,Sub-contracting Fabrication,Shree Ganesh Embroidery,49439.41,0.0,Job work voucher below limit clearance - Batch #674,Stitching Unit 1,accts_manish
MFG/24-25/520604,2025-01-01 16:34:00,Finished Goods Domestic Sales,Lifestyle Garments Ltd,0.0,10365.89,Bill passing for finished goods domestic sales against PO ref #3182,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/510124,2024-05-05 17:40:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,46440.71,Bill passing for export sales (apparel) against PO ref #4483,Stitching Unit 2,accts_suresh
MFG/24-25/SPL-603904,2024-08-03 18:58:00,Direct Factory Wages,Om Sai Labour Contractors,49391.71,0.0,Job work voucher below limit clearance - Batch #453,Stitching Unit 2,accts_manish
MFG/24-25/520216,2024-05-29 15:18:00,Raw Material - Cotton Yarn,K-Tex Processing Mills,500.0,0.0,Bill passing for raw material - cotton yarn against PO ref #6443,Finishing & Packaging,finance_head
MFG/24-25/506408,2024-11-05 17:05:00,Factory Security & Compliance,Surat Textiles Hub Pvt Ltd,22613.5,0.0,Bill passing for factory security & compliance against PO ref #2895,Weaving Dept,finance_head
MFG/24-25/516682,2024-05-05 15:32:00,Raw Material - Cotton Yarn,Apex Button & Zippers,31742.32,0.0,Bill passing for raw material - cotton yarn against PO ref #7285,Stitching Unit 2,finance_head
MFG/24-25/509896,2025-03-15 09:15:00,Packing & Trims Purchase,Zenith Dyeing & Processing,512.45,0.0,Bill passing for packing & trims purchase against PO ref #1017,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/524036,2024-12-13 10:37:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,73427.66,Bill passing for finished goods domestic sales against PO ref #5466,Dyeing & Wet Processing,finance_head
MFG/24-25/505781,2025-02-02 17:44:00,Dyeing & Printing Charges,Modern Trims & Labels,81675.65,0.0,Bill passing for dyeing & printing charges against PO ref #5187,Stitching Unit 2,finance_head
MFG/24-25/DUP-800388,2024-10-13 13:05:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,132109.56,0.0,Purchase bill passed against invoice ref INV-SURAT-8193 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/523453,2024-06-12 13:54:00,Machinery Repairs & Spares,Modern Trims & Labels,21074.98,0.0,Bill passing for machinery repairs & spares against PO ref #2075,Spinning Unit,accts_manish
MFG/24-25/SPL-603268,2024-10-02 18:55:00,Direct Factory Wages,Om Sai Labour Contractors,49332.31,0.0,Job work voucher below limit clearance - Batch #659,Stitching Unit 2,accts_manish
MFG/24-25/523476,2024-06-16 14:20:00,Finished Goods Domestic Sales,Trends Retail India,0.0,86313.54,Bill passing for finished goods domestic sales against PO ref #6822,Weaving Dept,accts_manish
MFG/24-25/504514,2025-02-13 13:18:00,Raw Material - Grey Fabric,Zenith Dyeing & Processing,3902.22,0.0,Bill passing for raw material - grey fabric against PO ref #8102,Spinning Unit,finance_head
MFG/24-25/508014,2024-07-28 11:30:00,Embroidery & Job Work Charges,Modern Trims & Labels,4689.66,0.0,Bill passing for embroidery & job work charges against PO ref #3451,Spinning Unit,accts_manish
MFG/24-25/509005,2025-01-10 17:36:00,Raw Material - Cotton Yarn,Star Export Logistics,7583.54,0.0,Bill passing for raw material - cotton yarn against PO ref #5531,Export Division,sr_accountant_gupta
MFG/24-25/520202,2024-12-12 15:43:00,Export Sales (Apparel),Overseas Buyer Corp (USA),0.0,2219.15,Bill passing for export sales (apparel) against PO ref #4833,Stitching Unit 1,accts_manish
MFG/24-25/500350,2024-05-21 18:00:00,Machinery Repairs & Spares,Vardhman Yarns & Threads,955.91,0.0,Bill passing for machinery repairs & spares against PO ref #6299,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/520303,2025-03-27 12:23:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,7382.29,Bill passing for finished goods domestic sales against PO ref #8240,Stitching Unit 2,accts_suresh
MFG/24-25/519849,2024-06-02 19:10:00,Raw Material - Cotton Yarn,Shree Ganesh Embroidery,39390.88,0.0,Bill passing for raw material - cotton yarn against PO ref #5751,Stitching Unit 2,finance_head
MFG/24-25/509250,2024-04-30 12:57:00,Export Sales (Apparel),Euro Fashion Brands,0.0,3315.4,Bill passing for export sales (apparel) against PO ref #5414,Export Division,accts_manish
MFG/24-25/503348,2024-07-17 15:54:00,Raw Material - Grey Fabric,K-Tex Processing Mills,11246.97,0.0,Bill passing for raw material - grey fabric against PO ref #1655,Export Division,works_mgr_patel
MFG/24-25/520167,2024-12-13 19:37:00,Direct Factory Wages,Shree Ganesh Embroidery,10508.32,0.0,Bill passing for direct factory wages against PO ref #2511,Stitching Unit 1,finance_head
MFG/24-25/525941,2024-08-08 18:33:00,Packing & Trims Purchase,SuperTech Boiler Solutions,7054.94,0.0,Bill passing for packing & trims purchase against PO ref #6174,Finishing & Packaging,finance_head
MFG/24-25/512837,2024-10-16 11:21:00,Export Sales (Apparel),Trends Retail India,0.0,500.0,Bill passing for export sales (apparel) against PO ref #6145,Export Division,accts_manish
MFG/24-25/509693,2024-12-24 18:05:00,Direct Factory Wages,Modern Trims & Labels,3421.08,0.0,Bill passing for direct factory wages against PO ref #1663,Spinning Unit,works_mgr_patel
MFG/24-25/511808,2025-02-21 19:02:00,Packing & Trims Purchase,Om Sai Labour Contractors,11254.8,0.0,Bill passing for packing & trims purchase against PO ref #5273,Finishing & Packaging,accts_suresh
MFG/24-25/520496,2025-03-26 10:56:00,Raw Material - Grey Fabric,Balaji Job Workers Ltd,17268.09,0.0,Bill passing for raw material - grey fabric against PO ref #9816,Finishing & Packaging,accts_manish
MFG/24-25/SPL-603446,2024-06-10 11:20:00,Direct Factory Wages,Om Sai Labour Contractors,48383.9,0.0,Job work voucher below limit clearance - Batch #390,Stitching Unit 1,accts_manish
MFG/24-25/510056,2024-11-07 19:37:00,Raw Material - Grey Fabric,SuperTech Boiler Solutions,2732.2,0.0,Bill passing for raw material - grey fabric against PO ref #9709,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/EST-701503,2025-03-13 10:09:00,Dyeing & Printing Charges,Royal Industrial Spares,724110.0,0.0,Estimated invoice booking ref #EST-72411,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/506347,2024-10-17 10:24:00,Raw Material - Cotton Yarn,SuperTech Boiler Solutions,1043.81,0.0,Bill passing for raw material - cotton yarn against PO ref #7742,Weaving Dept,accts_suresh
MFG/24-25/502125,2024-05-07 09:35:00,Raw Material - Grey Fabric,Tirupur Spinning Mills,95442.0,0.0,Bill passing for raw material - grey fabric against PO ref #4881,Export Division,finance_head
MFG/24-25/509673,2024-09-26 19:30:00,Export Sales (Apparel),Lifestyle Garments Ltd,0.0,1154.24,Bill passing for export sales (apparel) against PO ref #5894,Export Division,finance_head
MFG/24-25/509133,2024-08-19 10:30:00,Finished Goods Domestic Sales,Lifestyle Garments Ltd,0.0,15956.49,Bill passing for finished goods domestic sales against PO ref #8644,Finishing & Packaging,finance_head
MFG/24-25/505704,2025-03-31 16:48:00,Export Sales (Apparel),Euro Fashion Brands,0.0,1376.5,Bill passing for export sales (apparel) against PO ref #3721,Spinning Unit,finance_head
MFG/24-25/521572,2025-03-11 18:44:00,Direct Factory Wages,K-Tex Processing Mills,37610.68,0.0,Bill passing for direct factory wages against PO ref #3842,Spinning Unit,sr_accountant_gupta
MFG/24-25/DUP-800254,2024-08-02 16:05:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,219877.43,0.0,Purchase bill passed against invoice ref INV-SURAT-8126 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/522290,2024-04-28 10:59:00,Packing & Trims Purchase,Shree Ganesh Embroidery,51757.25,0.0,Bill passing for packing & trims purchase against PO ref #5738,Stitching Unit 1,finance_head
MFG/24-25/518404,2024-04-20 11:41:00,Raw Material - Grey Fabric,Zenith Dyeing & Processing,2885.26,0.0,Bill passing for raw material - grey fabric against PO ref #7300,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/518333,2024-08-09 11:09:00,Export Sales (Apparel),Lifestyle Garments Ltd,0.0,29855.55,Bill passing for export sales (apparel) against PO ref #9211,Spinning Unit,works_mgr_patel
MFG/24-25/504927,2025-03-04 12:43:00,Raw Material - Grey Fabric,Om Sai Labour Contractors,485554.1,0.0,Bill passing for raw material - grey fabric against PO ref #5941,Stitching Unit 2,accts_suresh
MFG/24-25/517622,2024-05-02 17:47:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,16442.92,0.0,Bill passing for raw material - grey fabric against PO ref #3233,Stitching Unit 1,accts_suresh
MFG/24-25/513745,2024-04-23 12:05:00,Packing & Trims Purchase,Royal Industrial Spares,1571.1,0.0,Bill passing for packing & trims purchase against PO ref #3587,Export Division,sr_accountant_gupta
MFG/24-25/503188,2024-09-05 14:21:00,Dyeing & Printing Charges,Shree Ganesh Embroidery,11641.97,0.0,Bill passing for dyeing & printing charges against PO ref #6509,Finishing & Packaging,works_mgr_patel
MFG/24-25/EST-703167,2024-10-16 16:58:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),885010.0,0.0,Estimated invoice booking ref #EST-88501,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/521223,2024-12-31 09:07:00,Embroidery & Job Work Charges,Surat Textiles Hub Pvt Ltd,20466.45,0.0,Bill passing for embroidery & job work charges against PO ref #9148,Weaving Dept,accts_suresh
MFG/24-25/521763,2024-12-07 13:33:00,Dyeing & Printing Charges,Global Freight Forwarders,47240.55,0.0,Bill passing for dyeing & printing charges against PO ref #1423,Spinning Unit,works_mgr_patel
MFG/24-25/SPL-604032,2024-04-26 13:54:00,Embroidery & Job Work Charges,Apex Button & Zippers,48342.77,0.0,Job work voucher below limit clearance - Batch #770,Stitching Unit 2,accts_manish
MFG/24-25/508817,2024-12-29 09:09:00,Direct Factory Wages,Modern Trims & Labels,8241.54,0.0,Bill passing for direct factory wages against PO ref #5400,Export Division,accts_manish
MFG/24-25/519769,2025-02-10 09:24:00,Raw Material - Grey Fabric,SuperTech Boiler Solutions,8950.71,0.0,Bill passing for raw material - grey fabric against PO ref #5859,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/SPL-600969,2024-09-27 13:56:00,Embroidery & Job Work Charges,Balaji Job Workers Ltd,48936.63,0.0,Job work voucher below limit clearance - Batch #639,Stitching Unit 2,accts_manish
MFG/24-25/524708,2025-03-18 14:03:00,Export Sales (Apparel),Euro Fashion Brands,0.0,6363.06,Bill passing for export sales (apparel) against PO ref #6484,Export Division,finance_head
MFG/24-25/SPL-601289,2024-06-24 16:49:00,Direct Factory Wages,Om Sai Labour Contractors,49708.53,0.0,Job work voucher below limit clearance - Batch #287,Stitching Unit 1,accts_manish
MFG/24-25/516753,2024-12-19 15:10:00,Packing & Trims Purchase,Balaji Job Workers Ltd,8875.53,0.0,Bill passing for packing & trims purchase against PO ref #3257,Stitching Unit 2,accts_manish
MFG/24-25/EST-700826,2024-08-13 16:19:00,Machinery Repairs & Spares,Royal Industrial Spares,97853.0,0.0,Estimated invoice booking ref #EST-97853,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/516223,2024-06-07 13:07:00,Boiler Fuel & Power Costs,Zenith Dyeing & Processing,955.51,0.0,Bill passing for boiler fuel & power costs against PO ref #5988,Export Division,finance_head
MFG/24-25/519958,2025-02-23 14:10:00,Export Sales (Apparel),Trends Retail India,0.0,5850.93,Bill passing for export sales (apparel) against PO ref #1602,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/521301,2025-02-04 09:12:00,Boiler Fuel & Power Costs,Modern Trims & Labels,5507.76,0.0,Bill passing for boiler fuel & power costs against PO ref #6581,Export Division,accts_manish
MFG/24-25/525970,2025-03-25 11:41:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,16614.16,Bill passing for finished goods domestic sales against PO ref #2153,Finishing & Packaging,accts_manish
MFG/24-25/524813,2025-02-20 10:31:00,Packing & Trims Purchase,SuperTech Boiler Solutions,3948.71,0.0,Bill passing for packing & trims purchase against PO ref #9253,Finishing & Packaging,works_mgr_patel
MFG/24-25/506577,2024-04-02 15:44:00,Export Sales (Apparel),Euro Fashion Brands,0.0,77812.77,Bill passing for export sales (apparel) against PO ref #9802,Spinning Unit,works_mgr_patel
MFG/24-25/505621,2025-03-23 15:45:00,Finished Goods Domestic Sales,Overseas Buyer Corp (USA),0.0,15075.82,Bill passing for finished goods domestic sales against PO ref #4377,Weaving Dept,accts_manish
MFG/24-25/517921,2024-05-17 16:51:00,Direct Factory Wages,Star Export Logistics,46905.36,0.0,Bill passing for direct factory wages against PO ref #3363,Stitching Unit 2,accts_suresh
MFG/24-25/500756,2024-04-11 12:41:00,Dyeing & Printing Charges,Om Sai Labour Contractors,234340.45,0.0,Bill passing for dyeing & printing charges against PO ref #4226,Stitching Unit 2,finance_head
MFG/24-25/503286,2024-11-14 13:36:00,Direct Factory Wages,Balaji Job Workers Ltd,14861.24,0.0,Bill passing for direct factory wages against PO ref #8691,Dyeing & Wet Processing,accts_manish
MFG/24-25/515453,2024-05-30 09:47:00,Factory Security & Compliance,Modern Trims & Labels,6557.64,0.0,Bill passing for factory security & compliance against PO ref #4668,Stitching Unit 2,sr_accountant_gupta
MFG/24-25/515743,2024-09-22 10:31:00,Boiler Fuel & Power Costs,Shree Ganesh Embroidery,6533.91,0.0,Bill passing for boiler fuel & power costs against PO ref #2028,Stitching Unit 1,accts_suresh
MFG/24-25/501102,2025-03-11 16:03:00,Raw Material - Grey Fabric,Star Export Logistics,23795.13,0.0,Bill passing for raw material - grey fabric against PO ref #1235,Weaving Dept,accts_manish
MFG/24-25/DUP-800098,2025-01-01 11:07:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,438993.12,0.0,Purchase bill passed against invoice ref INV-SURAT-8048 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/502607,2024-06-02 10:18:00,Sample Development Expenses,Om Sai Labour Contractors,11440.56,0.0,Bill passing for sample development expenses against PO ref #1650,Weaving Dept,accts_suresh
MFG/24-25/500276,2024-04-06 12:56:00,Raw Material - Cotton Yarn,Balaji Job Workers Ltd,500.0,0.0,Bill passing for raw material - cotton yarn against PO ref #1361,Weaving Dept,works_mgr_patel
MFG/24-25/520238,2024-05-28 09:42:00,Dyeing & Printing Charges,K-Tex Processing Mills,3876.75,0.0,Bill passing for dyeing & printing charges against PO ref #1442,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/520218,2024-08-06 10:16:00,Raw Material - Cotton Yarn,Royal Industrial Spares,3841.01,0.0,Bill passing for raw material - cotton yarn against PO ref #7702,Finishing & Packaging,works_mgr_patel
MFG/24-25/500796,2024-05-18 17:11:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,30195.11,0.0,Bill passing for raw material - grey fabric against PO ref #4047,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/500888,2024-05-01 16:29:00,Factory Security & Compliance,Global Freight Forwarders,88873.85,0.0,Bill passing for factory security & compliance against PO ref #4339,Stitching Unit 1,works_mgr_patel
MFG/24-25/521844,2024-07-11 17:56:00,Packing & Trims Purchase,K-Tex Processing Mills,5356.48,0.0,Bill passing for packing & trims purchase against PO ref #9165,Weaving Dept,works_mgr_patel
MFG/24-25/503455,2024-12-09 15:40:00,Sub-contracting Fabrication,Modern Trims & Labels,5115.32,0.0,Bill passing for sub-contracting fabrication against PO ref #5065,Stitching Unit 1,accts_suresh
MFG/24-25/504983,2025-02-09 14:39:00,Raw Material - Cotton Yarn,Shree Ganesh Embroidery,3276.91,0.0,Bill passing for raw material - cotton yarn against PO ref #3352,Dyeing & Wet Processing,sr_accountant_gupta
MFG/24-25/502836,2024-05-12 13:20:00,Dyeing & Printing Charges,Global Freight Forwarders,18919.85,0.0,Bill passing for dyeing & printing charges against PO ref #6961,Stitching Unit 2,accts_suresh
MFG/24-25/518297,2025-01-25 19:46:00,Raw Material - Cotton Yarn,Star Export Logistics,6110.51,0.0,Bill passing for raw material - cotton yarn against PO ref #7880,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/SPL-603366,2024-04-19 16:39:00,Embroidery & Job Work Charges,Apex Button & Zippers,49402.35,0.0,Job work voucher below limit clearance - Batch #849,Stitching Unit 1,accts_manish
MFG/24-25/EST-702605,2024-11-29 12:02:00,Machinery Repairs & Spares,Royal Industrial Spares,93203.0,0.0,Estimated invoice booking ref #EST-93203,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/513864,2024-11-27 15:14:00,Embroidery & Job Work Charges,Om Sai Labour Contractors,49764.51,0.0,Bill passing for embroidery & job work charges against PO ref #6100,Dyeing & Wet Processing,accts_manish
MFG/24-25/523148,2024-05-25 15:47:00,Direct Factory Wages,Tirupur Spinning Mills,9185.63,0.0,Bill passing for direct factory wages against PO ref #6146,Spinning Unit,sr_accountant_gupta
MFG/24-25/513308,2024-05-30 13:58:00,Raw Material - Grey Fabric,Balaji Job Workers Ltd,27242.26,0.0,Bill passing for raw material - grey fabric against PO ref #1005,Stitching Unit 2,works_mgr_patel
MFG/24-25/500274,2024-08-15 16:47:00,Finished Goods Domestic Sales,Lifestyle Garments Ltd,0.0,23638.24,Bill passing for finished goods domestic sales against PO ref #6444,Weaving Dept,sr_accountant_gupta
MFG/24-25/521434,2024-11-14 19:29:00,Finished Goods Domestic Sales,Euro Fashion Brands,0.0,4004.33,Bill passing for finished goods domestic sales against PO ref #2432,Dyeing & Wet Processing,finance_head
MFG/24-25/523697,2024-09-13 19:17:00,Direct Factory Wages,Shree Ganesh Embroidery,2559.98,0.0,Bill passing for direct factory wages against PO ref #6643,Finishing & Packaging,finance_head
MFG/24-25/SPL-602078,2024-11-08 15:19:00,Sub-contracting Fabrication,Om Sai Labour Contractors,49045.51,0.0,Job work voucher below limit clearance - Batch #498,Stitching Unit 2,accts_manish
MFG/24-25/521901,2024-12-14 17:29:00,Embroidery & Job Work Charges,Tirupur Spinning Mills,54982.98,0.0,Bill passing for embroidery & job work charges against PO ref #6110,Spinning Unit,accts_manish
MFG/24-25/521348,2024-08-13 10:00:00,Sub-contracting Fabrication,K-Tex Processing Mills,6213.65,0.0,Bill passing for sub-contracting fabrication against PO ref #9050,Weaving Dept,accts_manish
MFG/24-25/515590,2024-05-28 17:34:00,Finished Goods Domestic Sales,Trends Retail India,0.0,4837.22,Bill passing for finished goods domestic sales against PO ref #4639,Stitching Unit 1,sr_accountant_gupta
MFG/24-25/EST-702268,2025-02-06 11:46:00,Machinery Repairs & Spares,Sub-contractor X (Unverified),93332.0,0.0,Estimated invoice booking ref #EST-93332,Dyeing & Wet Processing,works_mgr_patel
MFG/24-25/SPL-601305,2024-11-12 16:28:00,Embroidery & Job Work Charges,Om Sai Labour Contractors,49334.53,0.0,Job work voucher below limit clearance - Batch #653,Stitching Unit 2,accts_manish
MFG/24-25/DUP-800835,2024-12-21 13:06:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,441719.89,0.0,Purchase bill passed against invoice ref INV-SURAT-8417 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/505356,2025-01-17 19:35:00,Direct Factory Wages,Global Freight Forwarders,28341.64,0.0,Bill passing for direct factory wages against PO ref #6332,Finishing & Packaging,works_mgr_patel
MFG/24-25/SPL-602522,2025-03-01 18:48:00,Sub-contracting Fabrication,Balaji Job Workers Ltd,49468.69,0.0,Job work voucher below limit clearance - Batch #743,Stitching Unit 1,accts_manish
MFG/24-25/521518,2024-08-19 10:38:00,Sub-contracting Fabrication,K-Tex Processing Mills,6809.7,0.0,Bill passing for sub-contracting fabrication against PO ref #1367,Finishing & Packaging,sr_accountant_gupta
MFG/24-25/SPL-602461,2024-12-06 18:44:00,Sub-contracting Fabrication,Balaji Job Workers Ltd,48313.3,0.0,Job work voucher below limit clearance - Batch #457,Stitching Unit 1,accts_manish
MFG/24-25/508686,2024-07-21 13:50:00,Packing & Trims Purchase,SuperTech Boiler Solutions,34407.48,0.0,Bill passing for packing & trims purchase against PO ref #8087,Export Division,sr_accountant_gupta
MFG/24-25/524690,2024-04-14 19:06:00,Packing & Trims Purchase,K-Tex Processing Mills,14444.8,0.0,Bill passing for packing & trims purchase against PO ref #1923,Finishing & Packaging,finance_head
MFG/24-25/525376,2024-10-25 10:17:00,Direct Factory Wages,Zenith Dyeing & Processing,217982.04,0.0,Bill passing for direct factory wages against PO ref #3285,Stitching Unit 2,works_mgr_patel
MFG/24-25/DUP-801927,2025-01-12 14:21:00,Raw Material - Grey Fabric,Surat Textiles Hub Pvt Ltd,385260.78,0.0,Purchase bill passed against invoice ref INV-SURAT-8963 (duplicate entry),Weaving Dept,accts_suresh
MFG/24-25/SPL-601773,2024-10-20 16:21:00,Embroidery & Job Work Charges,Shree Ganesh Embroidery,48352.77,0.0,Job work voucher below limit clearance - Batch #553,Stitching Unit 2,accts_manish
MFG/24-25/519544,2024-09-24 11:29:00,Packing & Trims Purchase,K-Tex Processing Mills,17193.35,0.0,Bill passing for packing & trims purchase against PO ref #8218,Stitching Unit 2,accts_suresh
